DewPointTempF,DRYBULBTEMPF,RelativeHumidity,StationPressure,VISIBILITY,WETBULBTEMPF,WindDirection,WindSpeed
6,28,39,29.88,10,22,320,24
5,29,36,29.88,10,22,330,18
4,29,34,29.88,10,22,330,25
4,28,35,29.87,10,22,330,22
4,28,35,29.88,10,22,340,20
3,27,35,29.91,10,21,320,18
3,25,39,29.95,10,19,320,22
2,24,38,29.98,10,19,320,20
-3,23,32,30.01,10,17,340,21
-3,22,33,30.06,10,16,330,22
-2,21,36,30.09,10,16,320,20
-3,20,36,30.09,10,15,320,20
-3,19,37,30.11,10,14,320,20
-4,17,39,30.11,10,13,320,22
-4,16,41,30.12,10,12,320,21
-4,15,42,30.12,10,11,320,22
-3,14,47,30.14,10,11,310,16
-2,14,49,30.16,10,11,310,15
-2,13,51,30.16,10,10,320,9
-1,13,54,30.16,10,10,310,11
-1,14,51,30.17,10,11,310,15
0,14,53,30.19,10,11,320,9
1,15,53,30.22,10,12,300,9
1,17,49,30.22,10,13,300,11
1,19,45,30.21,10,15,290,9
0,21,39,30.17,10,16,290,11
0,23,36,30.14,10,18,290,9
-1,24,33,30.09,10,18,280,8
-3,25,29,30.08,10,19,270,7
-2,27,28,30.06,10,20,240,7
2,25,37,30.06,10,19,250,13
6,26,42,30.03,10,21,240,11
9,27,46,30.03,10,22,240,15
10,28,47,30.03,10,23,240,18
11,28,49,30.03,10,23,260,13
13,28,53,30.01,10,24,250,17
12,28,51,30.01,10,23,250,13
14,29,54,29.98,10,24,250,17
14,29,54,29.96,10,24,250,10
13,28,53,29.96,10,24,270,10
13,27,55,29.93,10,23,260,9
15,28,58,29.91,10,24,260,13
15,29,56,29.9,10,25,270,13
15,29,56,29.88,10,25,280,8
14,30,51,29.88,10,25,280,10
13,30,49,29.91,10,25,290,11
13,30,49,29.91,10,25,270,8
14,31,49,29.93,10,26,280,10
15,32,50,29.93,10,27,270,10
16,33,49,29.91,10,27,270,15
18,38,44,29.85,10,31,260,14
18,39,43,29.83,10,32,290,15
18,40,41,29.83,10,32,290,15
18,40,41,29.85,10,32,290,17
18,40,41,29.87,10,32,290,15
17,38,43,29.88,10,31,310,21
17,38,43,29.91,10,31,330,16
17,38,43,29.93,10,31,330,14
18,38,44,29.96,10,31,310,11
20,38,48,29.96,10,32,260,8
22,33,64,29.96,10,29,240,8
23,31,72,29.96,10,28,250,9
24,32,73,29.96,10,29,240,7
26,34,73,29.93,10,31,240,6
26,35,70,29.93,10,32,210,7
25,38,60,29.93,10,33,220,11
26,37,65,29.93,10,33,200,7
26,38,62,29.91,10,33,200,13
27,39,62,29.91,10,34,200,15
31,41,67,29.88,10,37,200,14
33,43,68,29.88,10,39,210,17
29,41,62,29.88,10,36,230,14
29,43,58,29.88,10,37,250,9
28,45,52,29.85,10,38,250,10
28,49,44,29.8,10,40,240,14
29,51,43,29.78,10,42,220,15
28,52,40,29.77,10,42,210,14
29,51,43,29.75,10,42,230,14
31,49,50,29.75,10,41,240,9
32,48,54,29.75,10,41,230,13
32,45,61,29.78,10,39,240,7
32,47,56,29.78,10,41,240,9
34,45,66,29.78,10,40,210,5
33,44,65,29.78,10,39,0,0
32,44,63,29.78,10,39,250,6
31,43,63,29.78,10,38,240,7
31,42,65,29.77,10,37,240,9
31,40,70,29.77,10,36,230,7
31,40,70,29.77,10,36,230,7
31,38,76,29.77,10,35,220,7
31,39,73,29.75,10,36,220,9
32,40,73,29.75,10,37,260,7
31,39,73,29.75,10,36,240,7
30,36,79,29.77,10,34,220,6
33,39,79,29.77,10,37,240,9
36,45,71,29.78,10,41,230,8
34,48,58,29.8,10,42,240,8
32,51,48,29.78,10,43,240,10
31,56,39,29.75,10,45,240,15
32,59,36,29.72,10,47,240,13
35,60,39,29.72,10,48,240,11
35,59,41,29.72,10,48,240,14
34,58,41,29.74,10,47,250,8
35,60,39,29.77,10,48,280,14
36,57,45,29.8,10,47,270,13
36,57,45,29.82,10,47,290,11
36,56,47,29.85,10,47,300,11
31,54,42,29.88,10,44,290,11
32,51,48,29.9,10,43,280,9
25,49,39,29.93,10,39,330,20
23,47,39,29.96,10,38,330,18
24,45,44,29.98,10,37,320,15
24,44,45,30.01,10,36,310,15
23,44,43,30.03,10,36,310,10
23,44,43,30.06,10,36,310,15
23,44,43,30.06,10,36,310,16
23,42,47,30.09,10,35,300,11
22,42,45,30.11,10,35,310,14
23,42,47,30.14,10,35,280,9
25,44,47,30.16,10,37,250,8
22,44,41,30.19,10,36,330,14
21,46,37,30.19,10,37,330,15
22,47,37,30.16,10,37,330,14
22,48,36,30.16,10,38,320,13
21,45,39,30.16,10,36,330,16
21,45,39,30.17,10,36,330,13
20,43,40,30.19,10,35,320,16
20,41,43,30.22,10,33,320,13
19,40,43,30.24,10,33,330,15
18,39,43,30.27,10,32,330,18
17,38,43,30.29,10,31,330,14
16,36,44,30.29,10,29,330,20
14,35,42,30.29,10,28,330,14
14,34,44,30.3,10,28,340,13
12,33,42,30.3,10,27,350,13
13,32,45,30.3,10,26,350,10
13,32,45,30.3,10,26,350,11
14,30,51,30.3,10,25,10,5
15,31,52,30.29,10,26,10,6
15,32,50,30.3,10,27,10,3
15,32,50,30.3,10,27,360,7
16,31,54,30.3,10,26,20,3
15,32,50,30.32,10,27,0,0
15,33,47,30.32,10,27,0,0
15,34,46,30.32,10,28,0,0
14,35,42,30.29,10,28,0,0
12,38,34,30.24,10,30,230,5
16,38,41,30.22,10,31,220,6
18,38,44,30.19,10,31,220,7
20,38,48,30.17,10,32,200,8
22,38,52,30.16,10,32,180,9
22,36,57,30.14,10,31,180,9
23,37,57,30.11,10,32,170,5
25,36,64,30.11,10,32,200,7
25,37,62,30.09,10,33,200,9
26,39,60,30.06,10,34,220,10
28,38,68,30.04,10,34,240,6
28,38,68,30.01,10,34,240,9
23,38,55,29.98,10,32,260,10
20,37,50,29.96,10,31,260,8
21,37,52,29.95,10,31,260,10
22,37,54,29.95,10,32,270,8
24,35,64,29.91,10,31,260,8
23,31,72,29.88,10,28,250,8
25,34,70,29.88,10,31,260,10
26,34,73,29.91,10,31,260,11
27,34,75,29.93,7,31,260,11
27,36,70,29.93,7,33,270,15
28,40,63,29.93,9,35,260,14
27,42,55,29.93,8,36,280,15
26,45,48,29.88,10,37,300,16
26,46,46,29.85,10,38,260,16
26,46,46,29.85,10,38,270,17
25,46,44,29.88,10,38,270,20
25,47,42,29.9,10,38,270,14
26,46,46,29.91,10,38,280,14
24,46,42,29.95,10,37,290,16
25,45,46,29.98,10,37,290,15
25,44,47,29.98,10,37,290,10
24,43,47,29.98,10,36,310,11
24,42,49,29.98,10,35,310,11
23,40,51,29.98,10,34,320,7
23,39,53,30,10,33,320,6
23,39,53,30,10,33,310,7
24,37,59,30.03,10,32,0,0
26,37,65,30.03,10,33,280,5
28,35,76,30.01,10,32,280,7
28,35,76,30.03,10,32,250,5
26,32,79,30.04,10,30,250,5
26,31,82,30.06,10,29,20,5
26,32,79,30.06,10,30,70,5
28,37,70,30.06,10,34,110,3
27,43,53,30.09,10,37,120,3
25,45,46,30.09,10,37,160,6
27,46,47,30.06,10,38,140,6
28,46,50,30.04,10,39,140,7
28,46,50,30.03,10,39,160,11
30,45,56,30.01,10,39,120,9
30,44,58,30.01,10,38,130,9
31,44,60,30,10,39,120,9
32,43,65,29.98,10,38,90,10
33,44,65,29.98,10,39,110,10
33,45,63,29.96,10,40,110,13
34,45,66,29.95,10,40,100,10
36,45,71,29.91,10,41,80,9
39,44,83,29.87,10,42,90,17
41,44,89,29.82,8,43,80,20
42,45,90,29.78,7,44,80,15
43,46,89,29.74,8,45,80,21
44,47,90,29.67,6,46,80,20
45,48,89,29.62,5,47,80,24
44,48,86,29.56,7,46,80,26
45,48,89,29.52,4,47,80,23
45,48,89,29.48,5,47,70,20
44,47,90,29.44,3,46,40,17
42,46,86,29.46,2.5,44,50,15
43,47,86,29.41,10,45,50,30
42,46,86,29.43,10,44,60,22
42,45,90,29.43,10,44,40,15
40,44,85,29.44,10,42,20,15
40,44,85,29.44,10,42,30,14
40,44,85,29.47,10,42,20,10
39,44,83,29.49,10,42,20,6
40,43,89,29.52,8,42,20,3
39,43,86,29.54,10,41,90,3
40,43,89,29.56,10,42,90,3
40,43,89,29.56,10,42,0,0
40,43,89,29.54,9,42,100,7
40,42,92,29.54,6,41,90,6
40,42,92,29.52,6,41,110,7
40,43,89,29.49,6,42,70,7
41,44,89,29.47,5,43,100,9
43,45,93,29.44,0.5,44,130,10
45,48,89,29.41,10,47,190,13
44,48,86,29.38,10,46,180,14
45,49,86,29.31,10,47,170,21
45,50,83,29.28,10,48,180,22
44,49,83,29.26,10,47,190,25
35,42,76,29.34,10,39,260,25
31,42,65,29.38,10,37,260,26
33,39,79,29.39,9,37,260,26
27,37,67,29.43,10,33,250,33
22,35,59,29.44,10,30,270,28
16,33,49,29.48,10,27,260,38
15,33,47,29.49,10,27,270,33
13,34,42,29.52,10,27,270,33
15,32,50,29.57,10,27,260,34
11,30,45,29.65,10,24,270,37
11,30,45,29.69,10,24,270,30
13,30,49,29.72,10,25,260,31
14,30,51,29.75,10,25,260,29
14,30,51,29.77,10,25,260,25
14,30,51,29.78,10,25,270,22
14,30,51,29.8,10,25,280,23
13,30,49,29.82,10,25,280,21
13,29,51,29.83,10,24,270,24
14,29,54,29.85,10,24,250,24
14,29,54,29.85,10,24,270,21
14,28,56,29.85,10,24,270,23
14,29,54,29.85,10,24,280,20
13,29,51,29.87,10,24,280,18
14,29,54,29.88,10,24,280,20
13,29,51,29.9,10,24,280,18
13,30,49,29.93,10,25,280,22
14,31,49,29.93,10,26,280,20
14,32,47,29.95,10,26,280,18
14,33,45,29.93,10,27,290,21
14,32,47,29.93,10,26,300,16
13,32,45,29.93,10,26,290,18
12,32,43,29.93,10,26,290,21
12,32,43,29.96,10,26,300,17
13,32,45,29.96,10,26,290,17
12,33,42,30,10,27,290,18
12,32,43,30.01,10,26,300,16
14,32,47,30.03,10,26,310,15
16,31,54,30.04,9,26,330,14
13,31,47,30.04,10,25,320,10
11,29,47,30.06,10,24,340,11
10,27,49,30.08,10,22,340,13
8,27,45,30.09,10,22,320,18
8,26,46,30.11,10,21,340,10
5,25,42,30.12,10,20,320,22
5,22,48,30.14,10,18,320,18
0,19,43,30.17,10,15,320,18
-1,17,45,30.21,10,13,330,23
0,17,47,30.24,10,13,320,22
-4,17,39,30.27,10,13,340,21
-5,18,35,30.3,10,13,330,20
-7,19,31,30.35,10,14,340,21
-8,20,28,30.37,10,15,340,16
-9,22,25,30.35,10,16,330,16
-8,23,25,30.35,10,17,340,13
-7,25,24,30.35,10,18,340,16
-9,25,22,30.37,10,18,330,16
-8,25,23,30.38,10,18,320,15
-7,23,26,30.43,10,17,320,18
-7,23,26,30.45,10,17,320,18
-6,22,29,30.48,10,16,330,20
-4,21,33,30.5,10,16,320,15
-3,20,36,30.53,10,15,330,14
-6,19,32,30.55,10,14,350,13
-4,19,36,30.55,10,14,340,13
-2,18,41,30.58,10,14,340,11
-2,17,43,30.56,10,13,350,9
-2,16,45,30.58,10,12,360,7
-1,15,49,30.58,10,12,350,6
0,15,51,30.58,10,12,340,5
0,16,49,30.58,10,13,360,3
0,15,51,30.6,10,12,350,5
2,15,56,30.58,10,12,60,3
2,17,51,30.6,10,14,30,5
1,20,43,30.6,10,16,50,3
2,21,43,30.6,10,17,160,5
7,24,48,30.58,10,20,180,6
14,27,58,30.55,10,23,170,9
15,32,50,30.48,10,27,200,13
13,34,42,30.42,10,27,200,17
17,34,50,30.37,10,28,200,14
16,35,46,30.37,10,29,190,20
17,34,50,30.35,10,28,200,21
19,35,52,30.34,10,30,210,23
21,36,55,30.32,10,31,220,25
24,37,59,30.29,10,32,220,18
26,38,62,30.27,10,33,220,20
26,38,62,30.24,10,33,210,20
28,37,70,30.21,10,34,220,11
28,39,65,30.16,10,35,210,17
29,38,70,30.14,10,34,230,17
31,37,79,30.11,8,35,230,14
32,37,82,30.09,10,35,220,15
34,37,89,30.04,10,36,230,14
34,38,86,30.03,10,36,230,15
34,39,82,30.01,10,37,230,11
34,39,82,30.01,10,37,230,10
33,37,86,30,10,35,230,9
36,41,82,29.98,10,39,230,10
35,41,79,29.96,10,38,220,8
36,42,79,29.93,10,39,200,9
37,42,82,29.9,6,40,220,7
39,42,89,29.83,5,41,210,7
40,42,92,29.78,6,41,200,10
40,43,89,29.77,6,42,210,9
42,45,90,29.72,8,44,190,10
42,45,90,29.7,8,44,190,11
42,45,90,29.67,8,44,200,10
42,45,90,29.64,8,44,200,10
44,48,86,29.59,10,46,220,14
44,50,80,29.59,10,47,230,15
44,50,80,29.57,10,47,220,17
43,48,83,29.56,10,46,210,14
43,48,83,29.54,10,46,210,13
43,49,80,29.56,10,46,220,13
44,50,80,29.57,10,47,240,11
39,52,61,29.59,10,46,280,23
30,48,50,29.67,10,40,310,25
25,46,44,29.7,10,38,280,20
22,44,41,29.74,10,36,300,20
21,41,45,29.78,10,34,320,25
16,40,38,29.82,10,32,310,23
14,40,35,29.87,10,31,300,30
15,41,35,29.9,10,32,310,24
13,41,32,29.91,10,32,290,23
15,42,33,29.91,10,33,330,18
12,40,32,29.93,10,31,330,24
10,40,29,29.95,10,30,310,22
9,38,30,29.96,10,29,320,23
8,35,32,30,10,27,350,30
7,32,35,30.03,10,25,320,20
8,30,39,30.08,10,24,340,14
7,29,39,30.09,10,23,340,20
7,28,41,30.12,10,22,330,17
7,27,43,30.14,10,22,350,13
6,26,42,30.14,10,21,350,11
3,25,39,30.16,10,19,360,13
2,25,37,30.17,10,19,30,10
2,23,40,30.17,10,18,10,11
2,22,42,30.17,10,17,10,13
2,21,43,30.19,10,17,10,10
4,21,47,30.21,10,17,10,10
5,21,50,30.19,10,17,20,9
7,20,57,30.22,10,17,60,6
5,19,54,30.24,10,16,50,5
8,20,60,30.24,10,17,50,3
8,23,53,30.25,10,19,70,8
7,26,44,30.24,10,21,50,8
9,28,44,30.22,10,23,120,7
13,30,49,30.17,10,25,110,8
16,31,54,30.14,10,26,130,6
17,32,54,30.11,10,27,130,8
20,32,61,30.09,10,28,110,7
22,33,64,30.06,10,29,110,13
23,34,64,30.03,10,30,150,14
23,36,59,30.03,10,31,160,13
21,36,55,29.98,10,31,170,16
24,37,59,29.98,10,32,190,21
20,38,48,29.98,10,32,210,16
21,36,55,29.98,10,31,230,9
24,37,59,29.95,10,32,210,14
23,37,57,29.93,10,32,220,14
22,36,57,29.93,10,31,250,14
23,37,57,29.95,10,32,250,16
22,36,57,29.95,10,31,270,16
22,35,59,29.96,10,30,280,13
21,34,59,29.98,10,29,290,14
20,32,61,30.01,10,28,310,11
16,31,54,30.06,10,26,330,18
12,28,51,30.11,10,23,320,22
4,27,37,30.16,10,21,330,23
2,27,34,30.19,10,21,330,24
2,29,31,30.21,10,22,320,17
3,30,31,30.21,10,23,310,15
2,31,29,30.19,10,23,310,18
2,32,27,30.19,10,24,340,15
2,31,29,30.21,10,23,300,11
1,31,28,30.22,10,23,320,10
1,30,29,30.24,10,23,320,9
2,30,30,30.24,10,23,350,7
3,28,34,30.25,10,22,360,9
4,29,34,30.27,10,22,10,9
5,29,36,30.29,10,23,10,6
4,29,34,30.27,10,22,20,6
6,29,38,30.27,10,23,50,6
7,29,39,30.24,10,23,60,7
7,29,39,30.25,10,23,70,8
8,29,41,30.24,10,23,70,8
12,28,51,30.24,9,23,30,7
19,25,78,30.19,4,23,60,14
20,25,81,30.14,3,23,70,11
19,24,81,30.11,4,22,70,10
19,24,81,30.09,2.5,22,60,15
20,24,84,30.08,1.5,23,40,15
22,25,88,30.06,1,24,40,15
24,28,85,30.03,1,27,40,15
23,27,85,29.98,5,26,30,16
24,28,85,29.96,2.5,27,20,17
23,28,81,29.96,4,26,20,18
22,27,81,29.96,10,25,20,18
22,27,81,29.98,10,25,30,21
22,28,78,30.01,9,26,30,18
22,28,78,30.06,10,26,10,13
21,28,75,30.11,10,26,10,14
22,27,81,30.14,10,25,20,13
21,27,78,30.17,10,25,20,10
20,27,75,30.19,10,25,10,11
19,27,72,30.24,10,24,10,15
17,26,69,30.25,10,23,10,13
15,24,68,30.27,10,21,10,15
14,22,71,30.32,10,20,10,13
13,21,71,30.35,10,19,20,10
13,21,71,30.37,10,19,10,13
12,20,71,30.4,10,18,20,14
12,19,74,30.4,10,17,20,11
11,19,71,30.42,10,17,10,8
11,19,71,30.45,10,17,20,9
12,20,71,30.47,10,18,20,8
15,22,75,30.51,10,20,30,9
17,24,75,30.53,10,22,40,11
18,26,71,30.51,10,24,20,9
20,27,75,30.5,10,25,20,9
21,29,72,30.5,10,26,30,9
22,29,75,30.47,10,27,40,9
23,31,72,30.47,10,28,30,7
23,31,72,30.47,10,28,50,9
24,32,73,30.47,10,29,70,6
25,32,75,30.47,10,30,80,6
25,33,72,30.47,10,30,70,8
26,33,75,30.47,10,30,60,10
26,34,73,30.47,10,31,70,9
27,34,75,30.45,10,31,70,9
27,33,78,30.43,10,31,60,9
27,34,75,30.42,10,31,40,8
27,33,78,30.4,9,31,50,8
28,34,79,30.37,10,32,70,11
29,34,82,30.37,10,32,60,6
29,35,78,30.34,10,33,40,5
30,35,82,30.32,10,33,40,5
32,35,89,30.29,5,34,40,6
34,36,93,30.25,4,35,20,6
34,37,89,30.24,5,36,10,7
35,38,89,30.22,6,37,20,6
37,40,89,30.22,7,39,50,6
39,41,93,30.21,4,40,50,6
45,47,93,30.14,6,46,80,8
47,50,89,30.11,8,49,110,9
47,50,89,30.06,10,49,110,11
47,51,86,30.03,9,49,120,15
46,49,90,30.01,6,48,200,11
48,51,89,30.01,3,49,160,21
48,50,93,29.96,10,49,150,18
49,51,92,29.95,6,50,160,18
49,51,92,29.93,0.5,50,170,20
48,50,93,29.91,0.5,49,190,21
47,49,93,29.9,1.5,48,190,21
46,48,93,29.88,2.5,47,190,18
46,48,93,29.88,3,47,200,11
46,47,97,29.88,6,47,190,7
46,48,93,29.9,8,47,220,6
47,50,89,29.91,10,48,270,9
45,49,86,29.91,10,47,250,11
44,47,90,29.93,10,46,260,10
42,46,86,29.96,10,44,270,9
40,44,85,29.96,10,42,270,11
38,41,89,29.98,8,40,230,9
40,45,83,30,8,43,250,6
40,48,74,30.01,10,44,280,7
40,47,77,30.01,10,44,240,13
38,52,59,29.98,10,45,270,16
35,53,51,29.96,10,45,280,20
35,53,51,29.95,10,45,270,15
34,53,48,29.96,10,44,270,20
35,51,54,29.98,10,44,270,15
34,50,54,30.01,10,43,280,14
31,49,50,30.03,10,41,310,13
29,48,48,30.06,10,40,290,13
30,47,52,30.08,10,40,280,11
29,46,51,30.09,10,39,270,11
30,45,56,30.09,10,39,270,15
29,44,55,30.11,10,38,290,17
29,44,55,30.11,10,38,280,13
28,44,53,30.11,10,38,310,17
27,43,53,30.16,10,37,320,16
24,41,51,30.17,10,35,340,17
22,40,49,30.19,10,33,330,18
23,40,51,30.21,10,34,320,21
23,40,51,30.22,10,34,320,15
24,40,53,30.27,10,34,310,11
23,39,53,30.27,10,33,320,16
23,40,51,30.29,10,34,300,15
23,41,49,30.29,10,34,320,14
23,43,45,30.27,10,35,320,14
24,44,45,30.25,10,36,320,11
24,44,45,30.24,10,36,300,11
24,45,44,30.22,10,37,330,16
24,46,42,30.21,10,37,310,8
24,45,44,30.19,10,37,300,6
24,42,49,30.21,10,35,320,8
24,41,51,30.24,10,35,330,9
24,41,51,30.24,10,35,340,10
24,39,55,30.22,10,33,350,8
24,38,57,30.22,10,33,10,9
23,38,55,30.22,10,33,320,9
23,38,55,30.21,10,33,350,8
23,38,55,30.21,10,33,330,10
23,38,55,30.19,10,33,320,7
23,38,55,30.21,10,33,0,0
24,38,57,30.19,10,33,10,7
28,35,76,30.22,10,32,350,7
30,34,85,30.22,10,32,20,8
29,34,82,30.19,10,32,40,7
29,34,82,30.22,10,32,30,3
30,35,82,30.22,10,33,0,0
28,36,73,30.21,10,33,0,0
27,37,67,30.19,10,33,110,3
28,38,68,30.19,10,34,110,3
28,38,68,30.14,10,34,110,5
29,38,70,30.09,10,34,100,7
30,38,73,30.09,10,35,100,5
31,37,79,30.09,9,35,120,8
32,36,86,30.06,8,34,100,9
32,37,82,30.04,10,35,100,13
33,38,83,30.03,10,36,90,9
35,39,86,30.01,9,37,80,6
36,39,89,29.98,7,38,50,6
38,40,93,29.95,7,39,40,8
38,41,89,29.91,2,40,70,8
40,42,92,29.87,2.5,41,40,7
41,43,93,29.82,5,42,70,7
44,47,90,29.75,6,46,90,7
45,47,93,29.74,2,46,120,6
46,48,93,29.7,4,47,140,6
47,49,93,29.65,6,48,170,9
48,50,93,29.61,0.5,49,150,7
48,49,97,29.59,0.25,48,180,9
49,50,96,29.56,0.25,49,190,20
49,50,96,29.54,0.25,49,190,22
49,51,92,29.49,0.12,50,180,24
49,51,92,29.46,0.12,50,190,23
49,51,92,29.44,0.12,50,200,24
49,50,96,29.39,2,49,180,13
50,51,96,29.36,0.25,50,200,9
49,50,96,29.34,0,49,210,13
52,54,93,29.35,8,53,230,13
46,55,72,29.36,10,50,280,24
40,53,61,29.43,10,47,290,23
36,52,55,29.51,10,45,280,23
32,50,50,29.59,10,42,290,16
33,48,56,29.64,10,41,280,20
32,46,58,29.69,10,40,290,16
29,46,51,29.74,10,39,300,25
28,45,52,29.8,10,38,300,23
28,45,52,29.82,10,38,320,20
26,45,48,29.85,10,37,290,17
24,43,47,29.88,10,36,320,17
24,42,49,29.91,10,35,310,13
24,42,49,29.91,10,35,300,13
24,41,51,29.93,10,35,320,14
23,39,53,29.96,10,33,330,9
23,38,55,30,10,32,310,7
24,41,51,30.03,10,35,280,5
24,42,49,30.03,10,35,330,6
24,44,45,30,10,36,0,0
23,44,43,30.03,10,36,240,8
26,44,49,30,10,37,200,7
26,44,49,29.98,10,37,190,10
27,44,51,29.95,10,37,190,11
29,45,54,29.91,10,38,180,18
30,45,56,29.91,10,39,200,21
32,43,65,29.91,10,38,190,22
33,42,71,29.91,10,38,200,15
32,42,68,29.93,10,38,210,10
34,43,71,29.93,10,39,200,16
32,43,65,29.96,10,38,230,17
30,43,60,29.96,10,38,250,20
16,44,32,30,10,34,280,28
15,42,33,30.03,10,33,300,16
15,41,35,30.04,10,32,270,15
17,40,40,30.06,10,32,270,22
8,38,29,30.09,10,29,280,18
10,37,33,30.11,10,29,280,17
9,36,32,30.12,10,28,290,14
9,34,35,30.14,10,27,280,11
11,33,40,30.16,10,26,260,10
11,34,38,30.19,10,27,270,13
11,36,35,30.19,10,28,270,16
11,38,33,30.19,10,29,270,18
12,40,32,30.19,10,31,260,15
13,42,30,30.16,10,32,250,16
15,42,33,30.14,10,33,240,14
14,43,31,30.11,10,33,250,15
15,43,32,30.09,10,33,220,18
17,44,34,30.09,10,34,240,18
15,43,32,30.08,10,33,250,17
16,41,36,30.09,10,32,230,17
17,40,40,30.09,10,32,230,13
18,40,41,30.09,10,32,220,14
19,39,45,30.09,10,32,220,11
20,39,46,30.06,10,32,210,16
22,40,49,30.03,10,33,210,20
20,40,45,30.03,10,33,230,16
20,39,46,30.03,10,32,250,17
21,38,51,30.01,10,32,260,17
24,37,59,30.03,10,32,260,23
21,37,52,30.04,10,31,280,23
20,36,52,30.08,10,30,270,18
19,36,50,30.09,10,30,280,16
15,35,44,30.14,10,28,310,24
15,35,44,30.17,10,28,300,14
13,36,39,30.22,10,29,290,17
10,38,31,30.24,10,29,300,18
10,38,31,30.25,10,29,320,18
10,39,30,30.27,10,30,290,20
10,40,29,30.24,10,30,300,18
10,39,30,30.24,10,30,270,18
12,40,32,30.24,10,31,260,18
11,38,33,30.25,10,29,270,17
11,37,34,30.25,10,29,280,11
11,36,35,30.29,10,28,260,10
13,36,39,30.3,10,29,260,10
14,36,40,30.3,10,29,250,8
14,36,40,30.29,10,29,230,8
19,36,50,30.29,10,30,230,10
16,37,42,30.29,10,30,230,10
17,38,43,30.25,10,31,210,14
17,39,41,30.24,10,31,210,11
22,40,49,30.24,10,33,210,13
24,41,51,30.22,10,35,190,11
30,42,62,30.17,10,37,190,15
32,42,68,30.17,10,38,210,13
28,40,63,30.16,10,35,240,10
27,39,62,30.16,10,34,240,13
28,39,65,30.16,10,35,250,10
28,41,60,30.16,10,36,250,13
28,45,52,30.16,10,38,250,11
30,46,54,30.14,10,39,240,15
28,52,40,30.11,10,42,260,15
29,55,37,30.09,10,44,230,15
30,56,37,30.06,10,45,220,11
33,55,44,30.04,10,45,210,9
30,56,37,30.03,10,45,240,14
35,50,57,30.01,10,43,180,11
39,46,77,30.03,10,43,200,8
38,46,73,30.04,10,42,0,0
39,45,80,30.06,10,42,190,8
37,44,76,30.06,10,41,200,10
37,43,80,30.04,10,40,200,8
36,44,73,30.03,10,41,210,8
35,45,68,30.01,10,41,210,10
32,43,65,30.01,10,38,230,7
33,44,65,30,10,39,210,6
36,45,71,29.98,10,41,210,8
35,47,63,29.96,10,42,230,8
34,45,66,29.95,10,40,250,9
37,49,64,29.93,10,44,260,9
36,49,61,29.96,10,43,260,13
39,46,77,29.95,10,43,230,13
40,48,74,29.96,10,44,250,8
40,49,71,29.93,10,45,240,10
41,53,64,29.91,10,47,240,15
39,55,55,29.9,10,47,240,13
40,62,44,29.87,10,51,260,14
40,63,43,29.87,10,51,270,20
41,63,45,29.87,10,52,270,17
39,62,43,29.88,10,51,280,16
38,61,43,29.9,10,50,280,16
38,58,48,29.91,10,48,270,16
37,57,47,29.93,10,48,270,11
37,57,47,29.95,10,48,280,10
36,55,49,29.96,10,46,280,9
36,52,55,29.96,10,45,260,9
38,49,66,29.98,10,44,270,8
